kode_kbli,nama_kbli
01494,Pembibitan Dan Budidaya Rusa
01495,Pembibitan Dan Budidaya Kelinci
01496,Pembibitan Dan Budidaya Cacing
01497,Pembibitan dan Budidaya Burung Walet
01499,Pembibitan Dan Budidaya Aneka Ternak Lainnya
01611,Jasa Pengolahan Lahan
01612,"Jasa Pemupukan, Penanaman Bibit/Benih Dan Pengendalian Hama dan Gulma"
01613,Jasa Pemanenan
01614,Jasa Penyemprotan Dan Penyerbukan Melalui Udara
01619,Jasa Penunjang Pertanian Lainnya
01621,Jasa Pelayanan Kesehatan Ternak
01622,Jasa Perkawinan Ternak
01623,Jasa Penetasan Telur
01629,Jasa Penunjang Peternakan Lainnya
01630,Jasa Pasca Panen
01640,Pemilihan benih tanaman untuk pengembangbiakan
01711,Perburuan dan Penangkapan Primata
01712,Perburuan dan Penangkapan Mamalia
01713,Perburuan dan Penangkapan Reptil
01714,Perburuan dan Penangkapan Burung
01715,Perburuan dan Penangkapan Insekta
01719,Perburuan dan Penangkapan Satwa Liar Lainnya
01721,Penangkaran Primata
01722,Penangkaran Mamalia
01723,Penangkaran Reptil
01724,Penangkaran Burung
01725,Penangkaran Insekta
01726,Penangkaran Anggrek
01727,Penangkaran Ikan dan Coral/karang
01729,Penangkaran Tumbuhan/Satwa Liar Lainnya
02111,Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi
02112,Pemanfaatan kayu hutan tanaman hasil rehabilitasi pada hutan produksi
02113,Pemanfaatan kayu hutan tanaman rakyat
02119,Pemanfaatan kayu hutan tanaman lainnya
02121,Pemanfaatan Kayu Hutan Alam
02122,Pemanfaatan kayu hasil restorasi ekosistem pada hutan alam
02130,Pemanfaatan Hasil Hutan Bukan Kayu
02140,Pengusahaan Perbenihan Tanaman Kehutanan
02201,Pemanenan kayu
02202,Usaha Pemungutan Kayu
02209,Usaha Kehutanan Lainnya
02301,Pemungutan Getah Karet
02302,Pemungutan Rotan
02303,Pemungutan Getah Pinus
02304,Pemungutan Daun Kayu Putih
02305,Pemungutan Kokon/Kepompong Ulat Sutera
02306,Pemungutan Damar
02307,Pemungutan Madu
02308,Pemungutan Bambu
02309,Pemungutan Bukan Kayu Lainnya
02401,Jasa Penggunaan Kawasan Hutan Di Luar Sektor Kehutanan
02402,Jasa Perlindungan Hutan Dan Konservasi Alam
02403,Jasa Rehabilitasi Dan Restorasi Kehutanan Sosial
02404,Jasa Kehutanan Bidang Perencanaan Kehutanan
02409,Jasa Penunjang Kehutanan Lainnya
03111,Penangkapan Pisces/Ikan Bersirip Di Laut
03112,Penangkapan Crustacea Di Laut
03113,Penangkapan Mollusca Di Laut
03114,Penangkapan/Pengambilan Tumbuhan Air Di Laut
03115,Penangkapan/Pengambilan Induk/Benih Ikan Di Laut
03116,Penangkapan Echinodermata Di Laut
03117,Penangkapan Coelenterata Di Laut
03118,Penangkapan Ikan Hias Laut
03119,Penangkapan Biota Air Lainnya Di Laut
03121,Penangkapan Pisces/Ikan Bersirip Di Perairan Darat
03122,Penangkapan Crustacea Di Perairan Darat
03123,Penangkapan Mollusca Di Perairan Darat
03124,Penangkapan/Pengambilan Tumbuhan Air Di Perairan Darat
03125,Penangkapan/Pengambilan Induk/Benih Ikan Di Perairan Darat
03126,Penangkapan Ikan Hias di Perairan Darat
03129,Penangkapan Biota Air Lainnya Di Perairan Darat
03131,Jasa Sarana Produksi Penangkapan Ikan Di Laut
03132,Jasa Produksi Penangkapan Ikan Di Laut
03133,Jasa Pasca Panen Penangkapan Ikan Di Laut
03141,Jasa Sarana Produksi Penangkapan Ikan Di Perairan Darat
03142,Jasa Produksi Penangkapan Ikan Di Perairan Darat
03143,Jasa Pasca Panen Penangkapan Ikan Di Perairan Darat
03151,Penangkapan/Pengambilan Ikan Bersirip (Pisces) yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03152,Penangkapan/Pengambilan Crustacea yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03153,Penangkapan/Pengambilan Mollusca yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03154,Penangkapan/Pengambilan Coelenterata yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03155,Penangkapan/Pengambilan Echinodermata yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03156,Penangkapan/Pengambilan Amphibia yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03157,Penangkapan/Pengambilan Reptilia yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03158,Penangkapan/Pengambilan Mamalia yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03159,Penangkapan/Pengambilan Algae dan Biota Perairan Lainnya yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03211,Pembesaran Pisces/ Ikan Bersirip Laut
03212,Pembenihan Ikan Laut
03213,Budidaya Ikan Hias Air Laut
03214,Budidaya Karang (Coral)
03215,Pembesaran Mollusca Laut
03216,Pembesaran Crustacea Laut
03217,Pembesaran Tumbuhan air Laut
03219,Budidaya Biota Air Laut Lainnya
03221,Pembesaran Ikan Air Tawar Di Kolam
03222,Pembesaran Ikan Air Tawar Di Karamba Jaring Apung
03223,Pembesaran Ikan Air Tawar Di Karamba
03224,Pembesaran Ikan Air Tawar Di Sawah
03225,Budidaya Ikan Hias Air Tawar
03226,Pembenihan Ikan Air Tawar
03227,Pembesaran Ikan Air Tawar Di Karamba Jaring Tancap
03229,Budidaya Ikan Air Tawar di Media Lainnya
03231,Jasa Sarana Produksi Budidaya Ikan Laut
03232,Jasa Produksi Budidaya Ikan Laut
03233,Jasa Pasca Panen Budidaya Ikan Laut
03241,Jasa Sarana Produksi Budidaya Ikan Air Tawar
03242,Jasa Produksi Budidaya Ikan Air Tawar
03243,Jasa Pasca Panen Budidaya Ikan Air Tawar
03251,Pembesaran Pisces/Ikan Bersirip Air Payau
03252,Pembenihan Ikan Air Payau
03253,Pembesaran Mollusca Air Payau
03254,Pembesaran Crustacea Air Payau
03255,Pembesaran Tumbuhan Air Payau
03259,Budidaya Biota Air Payau Lainnya
03261,Jasa Sarana Produksi Budidaya Ikan Air Payau
03262,Jasa Produksi Budidaya Ikan Air Payau
03263,Jasa Pasca Panen Budidaya Ikan Air Payau
03271,Pengembangbiakan Ikan Bersirip (Pisces) yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03272,Pengembangbiakan Crustacea yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03273,Pengembangbiakan Mollusca yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03274,Pengembangbiakan Coelenterata yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03275,Pengembangbiakan Echinodermata yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03276,Pengembangbiakan Amphibia yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03277,Pengembangbiakan Reptilia yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03278,Pengembangbiakan Mamalia yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
03279,Pengembangbiakan Algae dan Biota Perairan Lainnya yang Dilindungi dan/atau Termasuk dalam Appendiks CITES
05100,Pertambangan Batu Bara
05200,Pertambangan Lignit
06100,Pertambangan Minyak Bumi
06201,Pertambangan Gas Alam
06202,Pengusahaan Tenaga Panas Bumi
07101,Pertambangan Pasir Besi
07102,Pertambangan Bijih Besi
07210,Pertambangan Bijih Uranium Dan Torium
07291,Pertambangan Bijih Timah
07292,Pertambangan Bijih Timah Hitam
07293,Pertambangan Bijih Bauksit
07294,Pertambangan Bijih Tembaga
07295,Pertambangan Bijih Nikel
07296,Pertambangan Bijih Mangan
07299,Pertambangan Bahan Galian Lainnya Yang Tidak Mengandung Bijih Besi
07301,Pertambangan Emas Dan Perak
07309,Pertambangan Bijih Logam Mulia Lainnya
08101,Penggalian Batu Hias Dan Batu Bangunan
08102,Penggalian Batu Kapur/Gamping
08103,Penggalian Kerikil/Sirtu
08104,Penggalian Pasir
08105,Penggalian Tanah dan Tanah Liat
08106,Penggalian Gips
08107,Penggalian Tras
08108,Penggalian Batu Apung
08109,"Penggalian batu, pasir dan tanah liat lainnya"
08911,Pertambangan Belerang
08912,Pertambangan Fosfat
08913,Pertambangan Nitrat
08914,Pertambangan Yodium
08915,Pertambangan Potash (Kalium Karbonat)
08919,"Pertambangan Mineral, Bahan Kimia Dan Bahan Pupuk Lainnya"
08920,Ekstraksi Tanah Gemuk (Peat)
08930,Ekstraksi Garam
08991,Pertambangan Batu Mulia
08992,Penggalian Feldspar dan Kalsit
08993,Pertambangan Aspal Alam
08994,Penggalian Asbes
08995,Penggalian Kuarsa/Pasir Kuarsa
08999,Pertambangan Dan Penggalian Lainnya Ytdl
09100,Aktivitas Penunjang Pertambangan Minyak Bumi Dan Gas Alam
09900,Aktivitas Penunjang pertambangan dan penggalian lainnya
10110,Kegiatan Rumah Potong Dan Pengepakan Daging Bukan Unggas
10120,Kegiatan Rumah Potong Dan Pengepakan Daging Unggas
10130,Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas
10211,Industri Penggaraman/Pengeringan Ikan
10212,Industri Pengasapan/Pemanggangan Ikan
10213,Industri Pembekuan Ikan
10214,Industri Pemindangan Ikan
10215,Industri Peragian/Fermentasi Ikan
10216,Industri Berbasis Daging Lumatan Dan Surimi
10217,Industri Pendinginan/Pengesan Ikan
10219,Industri Pengolahan Dan Pengawetan Lainnya untuk Ikan
10221,Industri Pengolahan dan Pengawetan Ikan dan Biota Air (Bukan Udang) Dalam Kaleng
10222,Industri Pengolahan dan Pengawetan Udang Dalam Kaleng
10291,Industri Penggaraman/Pengeringan Biota Air Lainnya
10292,Industri Pengasapan/Pemanggangan Biota Air Lainnya
10293,Industri Pembekuan Biota Air Lainnya
10294,Industri Pemindangan Biota Air Lainnya
10295,Industri Peragian/Fermentasi Biota Air Lainnya
10296,Industri Berbasis Lumatan Biota Air Lainnya
10297,Industri Pendinginan/Pengesan Biota Air Lainnya
10298,Industri pengolahan rumput laut
10299,Industri Pengolahan Dan Pengawetan Lainnya untuk Biota Air Lainnya
10311,Industri Pengasinan Buah-buahan Dan Sayuran
10312,Industri Pelumatan Buah-buahan Dan Sayuran
10313,Industri Pengeringan Buah-buahan Dan Sayuran
10314,Industri Pembekuan Buah-buahan Dan Sayuran
10320,Industri Pengolahan dan Pengawetan Buah-buahan dan Sayuran Dalam Kaleng
10330,Industri Pengolahan Sari Buah Dan Sayuran
10391,Industri Tempe Kedelai
10392,Industri Tahu Kedelai
10393,Industri Pengolahan dan Pengawetan Kedelai dan Kacang-kacangan Lainnya Selain Tahu dan Tempe
10399,Industri Pengolahan dan Pengawetan Lainnya Buah-buahan Dan Sayuran Bukan Kacang-kacangan
10411,Industri Minyak Mentah dan Lemak Nabati
10412,Industri Margarine
10413,Industri Minyak Mentah Dan Lemak Hewani Selain Ikan
10414,Industri Minyak Ikan
10415,Industri Minyak Goreng Bukan Minyak Kelapa Dan Minyak Kelapa Sawit
10421,Industri Kopra
10422,Industri Minyak Mentah Kelapa
10423,Industri Minyak Goreng Kelapa
10424,Industri Pelet Kelapa
10431,Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil)
10432,Industri Minyak Mentah Inti Kelapa Sawit (Crude Palm Kernel Oil)
10433,Industri Pemisahan/Fraksinasi Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit
10434,Industri Pemurnian Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit
10435,Industri Pemisahan/Fraksinasi Minyak Murni Kelapa Sawit
10436,Industri Pemisahan/Fraksinasi Minyak Murni Inti Kelapa Sawit
10437,Industri Minyak Goreng Kelapa Sawit
10490,Industri Minyak Mentah Dan Lemak Nabati Dan Hewani Lainnya
10510,Industri Pengolahan Susu Segar dan Krim
10520,Industri Pengolahan Susu Bubuk dan Susu Kental
10531,Industri Pengolahan Es Krim
10532,Industri Pengolahan Es Sejenisnya Yang Dapat Dimakan (Bukan Es Batu dan Es Balok)
10590,Industri Pengolahan Produk dari Susu Lainnya
10611,Industri Penggilingan Gandum dan Serelia Lainnya
10612,Industri Penggilingan Aneka Kacang (Termasuk leguminous)
10613,Industri Penggilingan Aneka Umbi Dan Sayuran (Termasuk Rhizoma)
10614,Industri Tepung Campuran dan Adonan Tepung
10615,Industri Makanan Sereal
10616,Industri Tepung Terigu
10621,Industri Pati Ubi Kayu
10622,Industri Berbagai Macam Pati Palma
10623,Industri Glukosa Dan Sejenisnya
10629,Industri Pati dan Produk Pati Lainnya
10631,Industri Penggilingan Padi Dan Penyosohan Beras
10632,Industri Penggilingan Dan Pembersihan Jagung
10633,Industri Tepung Beras Dan Tepung Jagung
10634,Industri Pati Beras dan Jagung
10635,Industri Pemanis dari Beras dan Jagung
10636,Industri Minyak Dari Jagung dan Beras
10710,Industri Produk Roti Dan Kue
10721,Industri Gula Pasir
10722,Industri Gula Merah
10723,Industri Sirop
10729,Industri Pengolahan Gula Lainnya Bukan Sirop
10731,Industri Kakao
10732,Industri Makanan Dari Cokelat Dan Kembang Gula dari Coklat
10733,Industri Manisan Buah-buahan Dan Sayuran Kering
10734,Industri Kembang Gula
10739,Industri Kembang Gula Lainnya
10740,"Industri Makaroni, Mie Dan Produk Sejenisnya"
10750,Industri Makanan dan Masakan Olahan
10761,Industri Pengolahan Kopi
10762,Industri Pengolahan Herbal (herb infusion)
10763,Industri Pengolahan Teh
10771,Industri Kecap
10772,Industri Bumbu Masak Dan Penyedap Masakan
10773,Industri Produk Masak Dari Kelapa
10774,Industri Pengolahan Garam
10779,Industri Produk Masak Lainnya
10791,Industri Makanan Bayi
10792,Industri Kue Basah
10793,"Industri Makanan Dari Kedele Dan Kacang-kacangan Lainnya Bukan Kecap, Tempe Dan Tahu"
10794,"Industri Kerupuk, Keripik, Peyek Dan Sejenisnya"
10795,Industri Krimer Nabati
10796,Industri Dodol
10799,Industri Produk Makanan Lainnya
10801,Industri Ransum Makanan Hewan
10802,Industri Konsentrat Makanan Hewan
11010,Industri Minuman Beralkohol Hasil Destilasi
11020,Industri Minuman Beralkohol Hasil Fermentasi Anggur dan Hasil Pertanian Lainnya
11031,Industri Minuman Beralkohol Hasil Fermentasi Malt
11032,Industri Malt
11040,Industri Minuman Ringan
11051,Industri Air Kemasan
11052,Industri Air Minum Isi Ulang
11090,Industri Minuman Lainnya
12011,Industri Sigaret Kretek Tangan
12012,Industri Rokok Putih
12013,Industri Sigaret Kretek Mesin
12019,Industri Rokok Lainnya
12091,Industri Pengeringan Dan Pengolahan Tembakau
12099,Industri Bumbu Rokok Serta Kelengkapan Rokok Lainnya
13111,Industri Persiapan Serat Tekstil
13112,Industri Pemintalan Benang
13113,Industri Pemintalan Benang Jahit
13121,Industri Pertenunan (Bukan Pertenunan Karung Goni Dan Karung Lainnya)
13122,Industri Kain Tenun Ikat
13123,Industri Bulu Tiruan Tenunan
13131,Industri Penyempurnaan Benang
13132,Industri Penyempurnaan Kain
13133,Industri Pencetakan Kain
13134,Industri Batik
13911,Industri Kain Rajutan
13912,Industri Kain Sulaman
13913,Industri Bulu Tiruan Rajutan
13921,Industri Barang Jadi Tekstil Untuk Keperluan Rumah Tangga
13922,Industri Barang Jadi Tekstil Sulaman
13923,Industri Bantal dan Sejenisnya
13924,Industri Barang Jadi Rajutan dan Sulaman
13925,Industri Karung Goni
13926,Industri Karung Bukan Goni
13929,Industri Barang Jadi Tekstil Lainnya
13930,Industri Karpet dan Permadani
13941,Industri Tali
13942,Industri Barang Dari Tali
13991,Industri Kain Pita (Narrow Fabric)
13992,Industri Yang Menghasilkan Kain Keperluan Industri
13993,Industri Non Woven (bukan Tenunan)
13994,Industri Kain Ban
13995,Industri Kapuk
13996,Industri Kain Tulle dan Kain Jaring
13999,Industri Tekstil Lainnya YTDL
14111,Industri Pakaian Jadi (Konveksi) Dari Tekstil
14112,Industri Pakaian Jadi (Konveksi) Dari Kulit
14120,Penjahitan Dan Pembuatan Pakaian Sesuai Pesanan
14131,Industri Perlengkapan Pakaian Dari Tekstil
14132,Industri Perlengkapan Pakaian Dari Kulit
14200,Industri Pakaian Jadi dan Barang Dari Kulit Berbulu
14301,Industri Pakaian Jadi Rajutan
14302,Industri Pakaian Jadi Sulaman/Bordir
14303,Industri Rajutan Kaos Kaki dan Sejenisnya
15111,Industri Pengawetan Kulit
15112,Industri Penyamakan Kulit
15113,Industri Pencelupan Kulit Bulu
15114,Industri Kulit Komposisi
15121,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Pribadi
15122,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Teknik/Industri
15123,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Hewan
15129,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Lainnya
15201,Industri Alas Kaki Untuk Keperluan Sehari-hari
15202,Industri Sepatu Olahraga
15203,Industri Sepatu Teknik Lapangan/Keperluan Industri
15209,Industri Alas Kaki Lainnya
16101,Industri Penggergajian Kayu
16102,Industri Pengawetan Kayu
16103,"Industri Pengawetan Rotan, Bambu Dan Sejenisnya"
16104,Industri Pengolahan Rotan
16105,Industri Partikel Kayu dan Sejenisnya
16211,Industri Kayu Lapis
16212,"Industri Kayu Lapis Laminasi, Termasuk Decorative Plywood"
16213,Industri Panel Kayu Lainnya
16214,Industri Veneer
16215,Industri Kayu Laminasi
16221,Industri Barang Bangunan Dari Kayu
16222,Industri Bangunan Prafabrikasi Dari Kayu
16230,Industri Wadah Dari Kayu
16291,Industri Barang Anyaman Dari Rotan Dan Bambu
16292,Industri barang Anyaman Dari Tanaman Bukan Rotan Dan Bambu
16293,Industri Kerajinan Ukiran Dari Kayu Bukan Mebeller
16294,"Industri Alat Dapur Dari Kayu, Rotan Dan Bambu"
16295,Industri Kayu Bakar dan Pelet Kayu
16299,"Industri Barang Dari Kayu, Rotan, Gabus Lainnya YTDL"
17011,Industri Bubur Kertas (Pulp)
17012,Industri Kertas Budaya
17013,Industri Kertas Berharga
17014,Industri Kertas Khusus
17019,Industri Kertas Lainnya
17021,Industri Kertas dan Papan Kertas Bergelombang
17022,Industri Kemasan Dan Kotak Dari Kertas Dan Karton
17091,Industri Kertas Tissue
17099,Industri Barang Dari Kertas Dan Papan Kertas Lainnya YTDL
18111,Industri Pencetakan Umum
18112,Industri Pencetakan Khusus
18113,Industri Pencetakan 3D Printing
18120,Kegiatan Jasa Penunjang Pencetakan
18201,Reproduksi Media Rekaman Suara dan Piranti Lunak
18202,Reproduksi Media Rekaman Film Dan Video
19100,Industri produk dari batu bara
19211,Industri Bahan Bakar Dari Pemurnian Dan Pengilangan Minyak Bumi
19212,Industri Pembuatan Minyak Pelumas
19213,Industri Pengolahan Kembali Minyak Pelumas Bekas
19214,Industri Pengolahan Minyak Pelumas Bekas Menjadi Bahan Bakar
19291,Industri Produk Dari Hasil Kilang Minyak Bumi
19292,Industri Briket Batu Bara
20111,Industri Kimia Dasar Anorganik Khlor Dan Alkali
20112,Industri Kimia Dasar Anorganik Gas Industri
20113,Industri Kimia Dasar Anorganik Pigmen
20114,Industri Kimia Dasar Anorganik Lainnya
20115,Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian
20116,"Industri Kimia Dasar Organik Untuk Bahan Baku Zat Warna Dan Pigmen, Zat Warna Dan Pigmen"
20117,"Industri Kimia Dasar Organik Yang Bersumber Dari Minyak Bumi, Gas Alam Dan Batu Bara"
20118,Industri Kimia Dasar Organik Yang Menghasilkan Bahan Kimia Khusus
20119,Industri Kimia Dasar Organik Lainnya
20121,Industri Pupuk Alam/Non Sintetis Hara Makro Primer
20122,Industri Pupuk Buatan Tunggal Hara Makro Primer
20123,Industri Pupuk Buatan Majemuk Hara Makro Primer
20124,Industri Pupuk Buatan Campuran Hara Makro Primer
20125,Industri Pupuk Hara Makro Sekunder
20126,Industri Pupuk Hara Mikro
20127,Industri Pupuk Pelengkap
20128,Industri Media Tanam
20129,Industri Pupuk Lainnya
20131,Industri Damar Buatan (Resin Sintetis) Dan Bahan Baku Plastik
20132,Industri Karet Buatan
20211,Industri Bahan Baku Pemberantas Hama (Bahan Aktif)
20212,Industri Pemberantas Hama (Formulasi)
20213,Industri Zat Pengatur Tumbuh
20214,Industri Bahan Amelioran (Pembenah Tanah)
20221,Industri Cat dan Tinta Cetak
20222,Industri Pernis (Termasuk Mastik)
20223,Industri Lak
20231,Industri Sabun Dan Bahan Pembersih Keperluan Rumah Tangga
20232,"Industri Kosmetik Untuk Manusia, Termasuk Pasta Gigi"
20233,Industri Kosmetik Untuk Hewan
20234,Industri Perekat Gigi
20291,Industri Perekat/Lem
20292,Industri Bahan Peledak
20293,Industri Tinta
20294,Industri Minyak Atsiri
20295,Industri Korek Api
20296,Industri Minyak Atsiri Rantai Tengah
20299,Industri Barang Kimia Lainnya YTDL
20301,Industri Serat/Benang/Strip Filamen Buatan
20302,Industri Serat Stapel Buatan
21011,Industri Bahan Farmasi Untuk Manusia
21012,Industri Produk Farmasi Untuk Manusia
21013,Industri Produk Farmasi Untuk Hewan
21014,Industri Bahan Farmasi Untuk Hewan
21015,Industri Alat Kesehatan dalam Subgolongan 2101
21021,Industri Bahan Baku Obat Tradisional untuk Manusia
21022,Industri Produk Obat Tradisional untuk Manusia
21023,Industri Produk Obat Tradisional Untuk Hewan
21024,Industri Bahan Baku Obat Tradisional Untuk Hewan
22111,Industri Ban Luar Dan Ban Dalam
22112,Industri Vulkanisir Ban
22121,Industri Pengasapan Karet
22122,Industri Remilling Karet
22123,Industri Karet Remah (Crumb Rubber)
22191,Industri Barang Dari Karet Untuk Keperluan Rumah Tangga
22192,Industri Barang Dari Karet Untuk Keperluan Industri
22193,Industri Barang dari Karet untuk Keperluan Infrastruktur
22194,Industri Barang Dari Karet Untuk Kesehatan
22199,Industri Barang Dari Karet Lainnya Ytdl
22210,Industri Barang dari Plastik Untuk Bangunan
22220,Industri Barang Dari Plastik Untuk Pengemasan
22230,Industri Pipa Plastik Dan Perlengkapannya
22291,Industri Barang Plastik Lembaran
22292,Industri Perlengkapan Dan Peralatan Rumah Tangga (tidak Termasuk Furnitur)
22293,Industri Barang Dan Peralatan Teknik/Industri Dari Plastik
22299,Industri Barang Plastik Lainnya Ytdl
23111,Industri Kaca Lembaran
23112,Industri Kaca Pengaman
23119,Industri Kaca Lainnya
23121,Industri Perlengkapan Dan Peralatan Rumah Tangga Dari Kaca
23122,"Industri Alat-alat Laboratorium Non Klinis, Farmasi Dan Kesehatan Dari Kaca"
23123,Industri Kemasan Dari Kaca
23124,Industri Alat Laboratorium Klinis dari Kaca
23129,Industri Barang Lainnya Dari Kaca
23911,"Industri Bata, Mortar, Semen, dan Sejenisnya yang Tahan Api"
23919,Industri Barang Tahan Api Dari Tanah Liat/Keramik Lainnya
23921,Industri Batu Bata Dari Tanah Liat/Keramik
23922,Industri Genteng Dari Tanah Liat/Keramik
23923,Industri Peralatan Saniter Dari Porselen
23929,Industri Bahan Bangunan Dari Tanah Liat/Keramik Bukan Batu Bata Dan Genteng
23931,Industri Perlengkapan Rumah Tangga Dari Porselen
23932,Industri Perlengkapan Rumah Tangga Dari Tanah Liat/Keramik
23933,Industri Alat Laboratorium Dan Alat Listrik/Teknik Dari Porselen
23939,Industri Barang Tanah Liat/Keramik dan Porselen Lainnya Bukan Bahan Bangunan
23941,Industri Semen
23942,Industri Kapur
23943,Industri Gips
23951,Industri Barang Dari Semen
23952,Industri Barang Dari Kapur
23953,Industri Barang Dari Semen Dan Kapur Untuk Konstruksi
23954,Industri Barang dari Gips Untuk Konstruksi
23955,Industri Barang Dari Asbes Untuk Keperluan Bahan Bangunan
23956,Industri Barang Dari Asbes Untuk Keperluan Industri
23957,Industri Mortar atau Beton Siap Pakai
23959,"Industri Barang Dari Semen, Kapur, Gips dan Asbes Lainnya"
23961,Industri Barang Dari Marmer Dan Granit Untuk Keperluan Rumah Tangga Dan Pajangan
23962,Industri Barang Dari Marmer Dan Granit Untuk Keperluan Bahan Bangunan
23963,"Industri Barang Dari Batu Untuk Keperluan Rumah Tangga, Pajangan, dan Bahan Bangunan"
23969,"Industri Barang Dari Marmer, Granit Dan Batu Lainnya"
